Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,20
6,29,21,28
8,29,21,20
10,28,20,24
13,29,21,29
15,29,21,24
17,29,21,24
20,29,21,27
24,29,21,18
28,29,21,26
30,29,21,24
