Day,Day_No,N_Metab_Features,N_Image_Features,N_Total_Features,PCA_Explained_Var,Test_Accuracy,Test_F1_Acceptable,Test_F1_NotAcceptable,Test_Recall_Acceptable,Test_Recall_NotAcceptable,Test_Precision_Acceptable,Test_Precision_NotAcceptable,Test_Specificity,Test_PR_AUC,TP,FP,TN,FN,CV_Score
Dy03,3,12,12,24,0.59813404,0.8333333333333334,0.9090909090909091,0.0,0.8823529411764706,0.0,0.9375,0.0,0.0,0.973268054693893,30,2,0,4,0.35710902718575355
Dy06,6,12,12,24,0.6091911,0.8333333333333334,0.9090909090909091,0.0,0.8823529411764706,0.0,0.9375,0.0,0.0,0.9635149750539294,30,2,0,4,0.21367521367521367
Dy08,8,12,12,24,0.598106,0.9166666666666666,0.9552238805970149,0.4,0.9411764705882353,0.5,0.9696969696969697,0.3333333333333333,0.5,0.9966853408029879,32,1,1,2,0.2812865497076023
Dy10,10,12,12,24,0.5504376,0.8611111111111112,0.9253731343283582,0.0,0.9117647058823529,0.0,0.9393939393939394,0.0,0.0,0.9772629919943567,31,2,0,3,0.18333333333333332
Dy13,13,12,12,24,0.48980924,0.8333333333333334,0.90625,0.25,0.8529411764705882,0.5,0.9666666666666667,0.16666666666666666,0.5,0.994741811321159,29,1,1,5,0.3329768270944741
Dy15,15,12,12,24,0.47362694,0.9722222222222222,0.9850746268656716,0.8,0.9705882352941176,1.0,1.0,0.6666666666666666,1.0,0.9991596638655462,33,0,2,1,0.42907268170426066
Dy17,17,12,12,24,0.50922996,0.8333333333333334,0.90625,0.25,0.8529411764705882,0.5,0.9666666666666667,0.16666666666666666,0.5,0.9865891715058945,29,1,1,5,0.2962962962962963
Dy20_5,20,12,12,24,0.5161791,0.8636363636363636,0.9230769230769231,0.4,1.0,0.25,0.8571428571428571,1.0,0.25,0.827803772069768,18,3,1,0,0.5837789661319074
Dy24,24,12,12,24,0.5168757,0.813953488372093,0.8888888888888888,0.42857142857142855,0.9142857142857143,0.375,0.8648648648648649,0.5,0.375,0.9158637551371472,32,5,3,3,0.5414141414141413
Dy28,28,12,12,24,0.45657066,0.8636363636363636,0.918918918918919,0.5714285714285714,0.9714285714285714,0.4444444444444444,0.8717948717948718,0.8,0.4444444444444444,0.9346095332513416,34,5,4,1,0.6551132237406748
Dy30,30,12,12,24,0.4693105,0.8181818181818182,0.8918918918918919,0.42857142857142855,0.9428571428571428,0.3333333333333333,0.8461538461538461,0.6,0.3333333333333333,0.9811347266179199,33,6,3,2,0.6763285024154588
