Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,20
6,29,21,24
8,29,21,21
10,28,20,22
13,29,21,29
15,29,21,22
17,29,21,22
20,29,21,26
24,29,21,25
28,29,21,26
30,29,21,23
