metric,algo,mean_over_days,day_no,value
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,3,0.7142857142857143
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,6,0.43452380952380953
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,8,0.6785714285714286
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,10,0.6309523809523809
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,13,0.6607142857142857
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,15,0.5476190476190476
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,17,0.7142857142857143
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,20,0.7916666666666667
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,24,0.9
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,28,0.9682539682539684
auroc,soft(rgb)/soft_efficientnet,0.7276214526214527,30,0.962962962962963
auroc,rgb/cnn,0.7266534391534392,3,0.6875
auroc,rgb/cnn,0.7266534391534392,6,0.6696428571428572
auroc,rgb/cnn,0.7266534391534392,8,0.7470238095238095
auroc,rgb/cnn,0.7266534391534392,10,0.6517857142857142
auroc,rgb/cnn,0.7266534391534392,13,0.6636904761904763
auroc,rgb/cnn,0.7266534391534392,15,0.5565476190476191
auroc,rgb/cnn,0.7266534391534392,17,0.6994047619047619
auroc,rgb/cnn,0.7266534391534392,20,0.7380952380952381
auroc,rgb/cnn,0.7266534391534392,24,0.836111111111111
auroc,rgb/cnn,0.7266534391534392,28,0.835978835978836
auroc,rgb/cnn,0.7266534391534392,30,0.9074074074074074
auroc,overlay/vit,0.7217291967291968,3,0.7797619047619047
auroc,overlay/vit,0.7217291967291968,6,0.7142857142857143
auroc,overlay/vit,0.7217291967291968,8,0.7410714285714286
auroc,overlay/vit,0.7217291967291968,10,0.47916666666666663
auroc,overlay/vit,0.7217291967291968,13,0.6458333333333333
auroc,overlay/vit,0.7217291967291968,15,0.6220238095238095
auroc,overlay/vit,0.7217291967291968,17,0.7142857142857143
auroc,overlay/vit,0.7217291967291968,20,0.7023809523809523
auroc,overlay/vit,0.7217291967291968,24,0.8444444444444443
auroc,overlay/vit,0.7217291967291968,28,0.8386243386243386
auroc,overlay/vit,0.7217291967291968,30,0.8571428571428572
