Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,18
6,29,21,17
8,29,21,19
10,29,21,20
13,29,21,28
15,29,21,23
17,29,21,26
20,29,21,22
24,29,20,21
28,30,21,26
30,30,21,26
