Model_Variant,Test_F1_NotAcceptable,Test_F1_Acceptable,Test_Specificity,Test_ROC_AUC,Test_Accuracy
lgbm_per_day_noscale_cv_f1_notaccept_thresh_f1_notaccept,0.39072514173133366,0.9097176691969767,0.3797979797979798,0.7195788188198056,0.8449484964495535
lgbm_per_day_noscale_cv_f1_notaccept_thresh_macro_f1,0.39072514173133366,0.9097176691969767,0.3797979797979798,0.7195788188198056,0.8449484964495535
lgbm_per_day_noscale_cv_macro_f1_thresh_f1_notaccept,0.38404064975272406,0.9085083933398135,0.3696969696969697,0.7181358173768041,0.8428823807470742
lgbm_per_day_noscale_cv_macro_f1_thresh_macro_f1,0.38404064975272406,0.9085083933398135,0.3696969696969697,0.7181358173768041,0.8428823807470742
lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept,0.34969721540928966,0.909106582464122,0.3393939393939394,0.7285463745615548,0.8428823807470742
lgbm_per_day_noscale_cv_f1_weighted_thresh_macro_f1,0.34969721540928966,0.909106582464122,0.3393939393939394,0.7285463745615548,0.8428823807470742
lgbm_per_day_noscale_cv_f1_notaccept_thresh_f1_weighted,0.33390695991315184,0.9111006675373786,0.304040404040404,0.7195788188198056,0.8449484964495535
lgbm_per_day_noscale_cv_macro_f1_thresh_f1_weighted,0.32722246793454224,0.9098913916802154,0.29393939393939394,0.7181358173768041,0.8428823807470742
lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_weighted,0.29865103936311366,0.91349553007913,0.2636363636363636,0.7285463745615548,0.8477963856610792
