Family,Model_Variant,Test_F1_Acceptable,Test_ROC_AUC,Test_Specificity,Test_Recall_Acceptable,Test_Accuracy
trajectory,traj_allhist_Dy30,0.9859154929577464,0.9714285714285714,0.8888888888888888,1.0,0.9772727272727272
trajectory,traj_late_Dy30,0.9722222222222222,0.9777777777777776,0.7777777777777778,1.0,0.9545454545454546
trajectory,traj_allhist_Dy28,0.9714285714285714,0.9587301587301588,0.8888888888888888,0.9714285714285714,0.9545454545454546
trajectory,traj_late_Dy28,0.958904109589041,0.9523809523809524,0.6666666666666666,1.0,0.9318181818181818
per_day,lgbm_per_day_noscale,0.9181786926145752,0.7285463745615548,0.2535353535353535,0.977133492693265,0.8548245554799465
per_day,lgbm_per_day_noscale_classweight,0.9168979212055717,0.7235862556166162,0.3191919191919192,0.962988245151433,0.8547765062775633
