Day,Day_No,Test_Accuracy,Test_F1_Acceptable,Test_Recall_Acceptable,Test_Precision_Acceptable,Test_Specificity,Test_ROC_AUC,TP,FP,TN,FN,Model_Variant,Family,Variant,Target_Day,Threshold_Used
Dy28,28.0,0.9318181818181818,0.9577464788732394,0.9714285714285714,0.9444444444444444,0.7777777777777778,0.9841269841269842,34,2,7,1,lgbm_per_day_noscale_classweight,per_day,,,
Dy30,30.0,0.9772727272727272,0.9859154929577464,1.0,0.9722222222222222,0.8888888888888888,0.9873015873015872,35,1,8,0,lgbm_per_day_noscale_classweight,per_day,,,
Dy28,28.0,0.9090909090909092,0.9444444444444444,0.9714285714285714,0.918918918918919,0.6666666666666666,0.9650793650793652,34,3,6,1,lgbm_per_day_noscale,per_day,,,
Dy30,30.0,0.9772727272727272,0.9859154929577464,1.0,0.9722222222222222,0.8888888888888888,0.9904761904761904,35,1,8,0,lgbm_per_day_noscale,per_day,,,
Dy28,28,0.9545454545454546,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.8888888888888888,0.9587301587301588,34,1,8,1,traj_allhist_Dy28,trajectory,traj_allhist_Dy28,28.0,0.9
Dy30,30,0.9772727272727272,0.9859154929577464,1.0,0.9722222222222222,0.8888888888888888,0.9714285714285714,35,1,8,0,traj_allhist_Dy30,trajectory,traj_allhist_Dy30,30.0,0.15
