feature,importance
LactateGlo_growth,78
GlutamateGlo_concentration_uM,51
img_pca_4,46
img_pca_9,46
PyruvateGlo_concentration_uM,39
PyruvateGlo_growth,32
img_pca_7,30
img_pca_5,29
img_pca_10,28
img_pca_2,27
img_pca_0,24
img_pca_6,23
img_pca_1,23
glutamate_growth,21
img_pca_3,18
img_pca_8,16
img_pca_11,14
LactateGlo_concentration_uM,11
GlucoseGlo_concentration_uM,7
glucose_growth,6
glutamate_growth_accel,0
glucose_growth_accel,0
MalateGlo_growth,0
MalateGlo_concentration_uM,0
