Day No,Num in Sample,Actual Good,Predicted Good
3,25,18,21
6,25,18,15
8,25,18,17
10,25,18,17
13,25,18,22
15,25,18,18
17,25,18,13
20,25,18,22
24,25,18,20
28,25,18,18
30,25,18,19
