Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,27
6,29,21,25
8,29,21,28
10,28,20,25
13,29,21,20
15,29,21,27
17,29,21,24
20,29,21,29
24,29,21,22
28,29,21,24
30,29,21,26
