Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,16
6,29,21,22
8,29,21,24
10,28,20,26
13,29,21,24
15,29,21,23
17,29,21,24
20,29,21,28
24,29,21,24
28,29,21,25
30,29,21,26
