Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,25
6,29,21,24
8,29,21,24
10,29,21,21
13,29,21,22
15,29,21,23
17,29,21,24
20,29,21,24
24,29,20,19
28,30,21,25
30,30,21,25
