Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,25
6,29,21,27
8,29,21,20
10,29,21,22
13,29,21,24
15,29,21,20
17,29,21,20
20,29,21,22
24,29,20,16
28,30,21,24
30,30,21,26
