Day No,Num in Sample,Actual Good@0.5,Predicted Good@0.5
3.0,27,19,21
6.0,27,19,24
8.0,27,19,21
10.0,27,19,26
13.0,27,19,19
15.0,27,19,25
17.0,27,19,20
20.5,27,19,20
24.0,27,19,23
28.0,27,19,20
30.0,27,19,20
