Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,23
6,29,21,24
8,29,21,23
10,29,21,23
13,29,21,23
15,29,21,20
17,29,21,26
20,29,21,23
24,29,20,20
28,30,21,22
30,30,21,25
