Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,27
6,29,21,21
8,29,21,22
10,29,21,17
13,29,21,25
15,29,21,29
17,29,21,22
20,29,21,19
24,29,20,22
28,30,21,22
30,30,21,23
