Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,27
6,29,21,29
8,29,21,18
10,28,20,24
13,29,21,25
15,29,21,23
17,29,21,21
20,29,21,25
24,29,21,29
28,29,21,25
30,29,21,22
