Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,18
6,29,21,29
8,29,21,22
10,28,20,20
13,29,21,25
15,29,21,20
17,29,21,25
20,29,21,21
24,29,21,23
28,29,21,27
30,29,21,21
