well,split1_id,split2_id,split1_index,split2_index,split1_consensus,split2_consensus,split1_acceptable_rate,split2_acceptable_rate,split1_strength,split2_strength,rater_count,relationship
BA2_96_2_Dy30_C8,BA2_96_2_Dy30_C8_split1_nostitch,BA2_96_2_Dy30_C8_split2_nostitch,1,2,Not Acceptable,Not Acceptable,0.4,0.4,0.2,0.2,5,Ambiguous
BA4_96_1_Dy30_C12,BA4_96_1_Dy30_C12_split1_nostitch,BA4_96_1_Dy30_C12_split2_nostitch,1,2,Acceptable,Acceptable,0.6,0.6,0.2,0.2,5,Ambiguous
