Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,19
6,29,21,25
8,29,21,23
10,28,20,21
13,29,21,24
15,29,21,24
17,29,21,19
20,29,21,20
24,29,21,27
28,29,21,24
30,29,21,22
