Day No,Num in Sample,Actual Good,Predicted Good
3,27,19,23
6,27,19,23
8,27,19,21
10,27,19,22
13,27,19,25
15,27,19,21
17,27,19,21
20,27,19,18
24,27,19,23
28,27,19,24
30,27,19,23
