setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,24,0.5,0.7045454545454546,0.8928571428571429,0.7142857142857143,0.7936507936507936,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6904761904761905,6,3,10,25,0.64
overlay,0,per_day,24,0.6,0.5909090909090909,0.9473684210526315,0.5142857142857142,0.6666666666666666,0.8888888888888888,0.5142857142857142,0.5142857142857142,0.8888888888888888,0.7015873015873015,8,1,17,18,0.64
overlay,0,per_day,24,0.7,0.5,0.9333333333333333,0.4,0.56,0.8888888888888888,0.4,0.4,0.8888888888888888,0.6444444444444444,8,1,21,14,0.64
overlay,0,per_day,24,0.8,0.4090909090909091,1.0,0.2571428571428571,0.4090909090909091,1.0,0.2571428571428571,0.2571428571428571,1.0,0.6285714285714286,9,0,26,9,0.64
overlay,0,per_day,24,0.9,0.2727272727272727,1.0,0.08571428571428572,0.15789473684210525,1.0,0.08571428571428572,0.08571428571428572,1.0,0.5428571428571428,9,0,32,3,0.64
overlay,0,per_day,24,0.64,0.5227272727272727,0.9375,0.42857142857142855,0.5882352941176471,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.6587301587301587,8,1,20,15,0.64
overlay,0,per_day,30,0.5,0.8636363636363636,0.967741935483871,0.8571428571428571,0.9090909090909091,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.873015873015873,8,1,5,30,0.79
overlay,0,per_day,30,0.6,0.7954545454545454,0.9642857142857143,0.7714285714285715,0.8571428571428571,0.8888888888888888,0.7714285714285715,0.7714285714285715,0.8888888888888888,0.8301587301587301,8,1,8,27,0.79
overlay,0,per_day,30,0.7,0.7272727272727273,0.96,0.6857142857142857,0.8,0.8888888888888888,0.6857142857142857,0.6857142857142857,0.8888888888888888,0.7873015873015873,8,1,11,24,0.79
overlay,0,per_day,30,0.8,0.5,1.0,0.37142857142857144,0.5416666666666666,1.0,0.37142857142857144,0.37142857142857144,1.0,0.6857142857142857,9,0,22,13,0.79
overlay,0,per_day,30,0.9,0.25,1.0,0.05714285714285714,0.10810810810810811,1.0,0.05714285714285714,0.05714285714285714,1.0,0.5285714285714286,9,0,33,2,0.79
overlay,0,per_day,30,0.79,0.5454545454545454,1.0,0.42857142857142855,0.6,1.0,0.42857142857142855,0.42857142857142855,1.0,0.7142857142857143,9,0,20,15,0.79
overlay,0,per_day,6,0.5,0.6818181818181818,0.8888888888888888,0.6857142857142857,0.7741935483870968,0.6666666666666666,0.6857142857142857,0.6857142857142857,0.6666666666666666,0.6761904761904762,6,3,11,24,0.48
