Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,24
6,29,21,26
8,29,21,25
10,28,20,20
13,29,21,24
15,29,21,28
17,29,21,29
20,29,21,25
24,29,21,20
28,29,21,25
30,29,21,26
