Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,28
6,29,21,21
8,29,21,29
10,28,20,28
13,29,21,29
15,29,21,24
17,29,21,23
20,29,21,26
24,29,21,24
28,29,21,26
30,29,21,21
