Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,20
6,29,21,29
8,29,21,20
10,28,20,26
13,29,21,20
15,29,21,29
17,29,21,23
20,29,21,26
24,29,21,26
28,29,21,26
30,29,21,23
