setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,effnet_tchange,24,0.6,0.7954545454545454,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.5555555555555556,0.7063492063492063,5,4,5,30,0.78
overlay,0,effnet_tchange,24,0.7,0.75,0.9,0.7714285714285715,0.8307692307692308,0.6666666666666666,0.7714285714285715,0.7714285714285715,0.6666666666666666,0.719047619047619,6,3,8,27,0.78
overlay,0,effnet_tchange,24,0.8,0.5454545454545454,0.8947368421052632,0.4857142857142857,0.6296296296296297,0.7777777777777778,0.4857142857142857,0.4857142857142857,0.7777777777777778,0.6317460317460317,7,2,18,17,0.78
overlay,0,effnet_tchange,24,0.9,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.78
overlay,0,effnet_tchange,24,0.78,0.5681818181818182,0.8636363636363636,0.5428571428571428,0.6666666666666666,0.6666666666666666,0.5428571428571428,0.5428571428571428,0.6666666666666666,0.6047619047619047,6,3,16,19,0.78
overlay,0,effnet_tchange,26,0.5,0.7954545454545454,0.8611111111111112,0.8857142857142857,0.8732394366197183,0.4444444444444444,0.8857142857142857,0.8857142857142857,0.4444444444444444,0.665079365079365,4,5,4,31,0.78
overlay,0,effnet_tchange,26,0.6,0.7954545454545454,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.5555555555555556,0.7063492063492063,5,4,5,30,0.78
overlay,0,effnet_tchange,26,0.7,0.75,0.9,0.7714285714285715,0.8307692307692308,0.6666666666666666,0.7714285714285715,0.7714285714285715,0.6666666666666666,0.719047619047619,6,3,8,27,0.78
overlay,0,effnet_tchange,26,0.8,0.5454545454545454,0.8947368421052632,0.4857142857142857,0.6296296296296297,0.7777777777777778,0.4857142857142857,0.4857142857142857,0.7777777777777778,0.6317460317460317,7,2,18,17,0.78
overlay,0,effnet_tchange,26,0.9,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.78
overlay,0,effnet_tchange,26,0.78,0.5681818181818182,0.8636363636363636,0.5428571428571428,0.6666666666666666,0.6666666666666666,0.5428571428571428,0.5428571428571428,0.6666666666666666,0.6047619047619047,6,3,16,19,0.78
overlay,0,effnet_tchange,13,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.59
overlay,0,effnet_tchange,13,0.6,0.35135135135135137,0.7692307692307693,0.3225806451612903,0.45454545454545453,0.5,0.3225806451612903,0.3225806451612903,0.5,0.41129032258064513,3,3,21,10,0.59
overlay,0,effnet_tchange,13,0.7,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.59
overlay,0,effnet_tchange,13,0.8,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.59
overlay,0,effnet_tchange,13,0.9,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.59
overlay,0,effnet_tchange,13,0.59,0.4864864864864865,0.75,0.5806451612903226,0.6545454545454545,0.0,0.5806451612903226,0.5806451612903226,0.0,0.2903225806451613,0,6,13,18,0.59
