Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,22
6,29,21,20
8,29,21,23
10,29,21,21
13,29,21,26
15,29,21,28
17,29,21,21
20,29,21,25
24,29,20,21
28,30,21,21
30,30,21,25
