Day,Model,Accuracy,F1_Acceptable,F1_NotAcceptable
Dy03,LogisticRegression,0.864406779661017,0.9259259259259259,0.2
Dy03,LogisticRegression_SMOTE,0.576271186440678,0.6987951807228916,0.2857142857142857
Dy03,RandomForest,0.847457627118644,0.9142857142857143,0.3076923076923077
Dy03,SVM,0.847457627118644,0.9174311926605505,0.0
Dy06,LogisticRegression,0.847457627118644,0.9174311926605505,0.0
Dy06,LogisticRegression_SMOTE,0.576271186440678,0.6835443037974683,0.358974358974359
Dy06,RandomForest,0.8135593220338984,0.897196261682243,0.0
Dy06,SVM,0.847457627118644,0.9174311926605505,0.0
Dy08,LogisticRegression,0.8305084745762712,0.9056603773584906,0.16666666666666666
Dy08,LogisticRegression_SMOTE,0.6101694915254238,0.7160493827160493,0.3783783783783784
Dy08,RandomForest,0.7966101694915254,0.8846153846153846,0.14285714285714285
Dy08,SVM,0.847457627118644,0.9174311926605505,0.0
Dy10,LogisticRegression,0.847457627118644,0.9174311926605505,0.0
Dy10,LogisticRegression_SMOTE,0.4576271186440678,0.5897435897435898,0.2
Dy10,RandomForest,0.847457627118644,0.9158878504672897,0.18181818181818182
Dy10,SVM,0.847457627118644,0.9174311926605505,0.0
Dy13,LogisticRegression,0.8135593220338984,0.8932038834951457,0.26666666666666666
Dy13,LogisticRegression_SMOTE,0.6610169491525424,0.75,0.47368421052631576
Dy13,RandomForest,0.8305084745762712,0.9,0.4444444444444444
Dy13,SVM,0.8813559322033898,0.9345794392523364,0.36363636363636365
Dy15,LogisticRegression,0.847457627118644,0.9174311926605505,0.0
Dy15,LogisticRegression_SMOTE,0.6101694915254238,0.7088607594936709,0.41025641025641024
Dy15,RandomForest,0.847457627118644,0.9142857142857143,0.3076923076923077
Dy15,SVM,0.847457627118644,0.9174311926605505,0.0
Dy17,LogisticRegression,0.847457627118644,0.9174311926605505,0.0
Dy17,LogisticRegression_SMOTE,0.576271186440678,0.6987951807228916,0.2857142857142857
Dy17,RandomForest,0.847457627118644,0.9158878504672897,0.18181818181818182
Dy17,SVM,0.847457627118644,0.9174311926605505,0.0
Dy21,LogisticRegression,0.8205128205128205,0.8923076923076924,0.46153846153846156
Dy21,LogisticRegression_SMOTE,0.6923076923076923,0.7857142857142857,0.45454545454545453
Dy21,RandomForest,0.8205128205128205,0.8852459016393442,0.5882352941176471
Dy21,SVM,0.8461538461538461,0.90625,0.5714285714285714
Dy24,LogisticRegression,0.8153846153846154,0.8888888888888888,0.45454545454545453
Dy24,LogisticRegression_SMOTE,0.7538461538461538,0.8333333333333334,0.5294117647058824
Dy24,RandomForest,0.8769230769230769,0.9230769230769231,0.6923076923076923
Dy24,SVM,0.8461538461538461,0.9090909090909091,0.5
Dy28,LogisticRegression,0.8181818181818182,0.8888888888888888,0.5
Dy28,LogisticRegression_SMOTE,0.7272727272727273,0.8163265306122449,0.47058823529411764
Dy28,RandomForest,0.8636363636363636,0.9090909090909091,0.7272727272727273
Dy28,SVM,0.8636363636363636,0.918918918918919,0.5714285714285714
Dy30,LogisticRegression,0.8787878787878788,0.9285714285714286,0.6
Dy30,LogisticRegression_SMOTE,0.7424242424242424,0.8349514563106796,0.41379310344827586
Dy30,RandomForest,0.9545454545454546,0.9719626168224299,0.88
Dy30,SVM,0.8787878787878788,0.9285714285714286,0.6
