Day No,Num in Sample,Actual Good,Predicted Good
3,27,19,25
6,27,19,20
8,27,19,20
10,27,19,20
13,27,19,24
15,27,19,24
17,27,19,24
20,27,19,19
24,27,19,23
28,27,19,20
30,27,19,23
