Day,Day_No,N_Metab_Features,N_Image_Features,N_Total_Features,PCA_Explained_Var,Test_Accuracy,Test_F1_Acceptable,Test_F1_NotAcceptable,Test_Recall_Acceptable,Test_Recall_NotAcceptable,Test_Precision_Acceptable,Test_Precision_NotAcceptable,Test_Specificity,Test_PR_AUC,TP,FP,TN,FN,CV_Score
Dy03,3,12,12,24,0.6091386,0.7894736842105263,0.8787878787878788,0.2,0.9354838709677419,0.14285714285714285,0.8285714285714286,0.3333333333333333,0.14285714285714285,0.8578681241297514,29,6,1,2,0.20806100217864923
Dy06,6,12,12,24,0.6173585,0.7631578947368421,0.8656716417910447,0.0,0.9354838709677419,0.0,0.8055555555555556,0.0,0.0,0.7865250727660389,29,7,0,2,0.2735042735042735
Dy08,8,12,12,24,0.5943244,0.7631578947368421,0.8615384615384616,0.18181818181818182,0.9032258064516129,0.14285714285714285,0.8235294117647058,0.25,0.14285714285714285,0.7986870749247444,28,6,1,3,0.31125356125356124
Dy10,10,12,12,24,0.55414027,0.7631578947368421,0.8656716417910447,0.0,0.9354838709677419,0.0,0.8055555555555556,0.0,0.0,0.9415751938750101,29,7,0,2,0.10588235294117647
Dy13,13,12,12,24,0.4972511,0.8157894736842105,0.8955223880597015,0.2222222222222222,0.967741935483871,0.14285714285714285,0.8333333333333334,0.5,0.14285714285714285,0.947083412514987,30,6,1,1,0.25595238095238093
Dy15,15,12,12,24,0.46965042,0.8421052631578947,0.9090909090909091,0.4,0.967741935483871,0.2857142857142857,0.8571428571428571,0.6666666666666666,0.2857142857142857,0.9615276849551796,30,5,2,1,0.4405228758169935
Dy17,17,12,12,24,0.50360405,0.7894736842105263,0.8787878787878788,0.2,0.9354838709677419,0.14285714285714285,0.8285714285714286,0.3333333333333333,0.14285714285714285,0.9160537307420971,29,6,1,2,0.33134920634920634
Dy20_5,20,12,12,24,0.5105985,0.6956521739130435,0.8,0.36363636363636365,0.8235294117647058,0.3333333333333333,0.7777777777777778,0.4,0.3333333333333333,0.9528885716966213,14,4,2,3,0.4761904761904762
Dy24,24,12,12,24,0.5221851,0.8837209302325582,0.9295774647887324,0.6666666666666666,0.9705882352941176,0.5555555555555556,0.8918918918918919,0.8333333333333334,0.5555555555555556,0.9834828048020402,33,4,5,1,0.5964912280701754
Dy28,28,12,12,24,0.45519975,0.8409090909090909,0.9014084507042254,0.5882352941176471,0.9142857142857143,0.5555555555555556,0.8888888888888888,0.625,0.5555555555555556,0.970618966124567,32,4,5,3,0.593073593073593
Dy30,30,12,12,24,0.47014934,0.8409090909090909,0.8955223880597015,0.6666666666666666,0.8571428571428571,0.7777777777777778,0.9375,0.5833333333333334,0.7777777777777778,0.9718146473663238,30,2,7,5,0.7207655502392344
