setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,6,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,6,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,6,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5
overlay,0,per_day,6,0.5,0.9318181818181818,1.0,0.9142857142857143,0.9552238805970149,1.0,0.9142857142857143,0.9142857142857143,1.0,0.9571428571428571,9,0,3,32,0.5
overlay,0,per_day,28,0.5,0.8409090909090909,0.868421052631579,0.9428571428571428,0.9041095890410958,0.4444444444444444,0.9428571428571428,0.9428571428571428,0.4444444444444444,0.6936507936507936,4,5,2,33,0.55
overlay,0,per_day,28,0.6,0.2727272727272727,1.0,0.08571428571428572,0.15789473684210525,1.0,0.08571428571428572,0.08571428571428572,1.0,0.5428571428571428,9,0,32,3,0.55
overlay,0,per_day,28,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,28,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,28,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,28,0.55,0.7045454545454546,0.9583333333333334,0.6571428571428571,0.7796610169491526,0.8888888888888888,0.6571428571428571,0.6571428571428571,0.8888888888888888,0.7730158730158729,8,1,12,23,0.55
overlay,0,per_day,10,0.5,0.4318181818181818,1.0,0.2857142857142857,0.4444444444444444,1.0,0.2857142857142857,0.2857142857142857,1.0,0.6428571428571428,9,0,25,10,0.49
overlay,0,per_day,10,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,10,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,10,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,10,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,per_day,10,0.49,0.45454545454545453,0.9230769230769231,0.34285714285714286,0.5,0.8888888888888888,0.34285714285714286,0.34285714285714286,0.8888888888888888,0.6158730158730159,8,1,23,12,0.49
overlay,0,per_day,17,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35,0.56
overlay,0,per_day,17,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,17,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,17,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,17,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,17,0.56,0.25,1.0,0.05714285714285714,0.10810810810810811,1.0,0.05714285714285714,0.05714285714285714,1.0,0.5285714285714286,9,0,33,2,0.56
overlay,0,per_day,13,0.5,0.8409090909090909,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.5555555555555556,0.9142857142857143,0.9142857142857143,0.5555555555555556,0.734920634920635,5,4,3,32,0.51
overlay,0,per_day,13,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,13,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,13,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,13,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,13,0.51,0.7954545454545454,0.90625,0.8285714285714286,0.8656716417910447,0.6666666666666666,0.8285714285714286,0.8285714285714286,0.6666666666666666,0.7476190476190476,6,3,6,29,0.51
overlay,0,per_day,26,0.5,0.7954545454545454,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.5555555555555556,0.7063492063492063,5,4,5,30,0.53
overlay,0,per_day,26,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,26,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,26,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,26,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,26,0.53,0.5681818181818182,1.0,0.45714285714285713,0.6274509803921569,1.0,0.45714285714285713,0.45714285714285713,1.0,0.7285714285714285,9,0,19,16,0.53
overlay,0,effnet_ts,10,0.5,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,0.0,1.0,1.0,0.0,0.5,0,2,0,34,0.64
overlay,0,effnet_ts,10,0.6,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,0.0,1.0,1.0,0.0,0.5,0,2,0,34,0.64
overlay,0,effnet_ts,10,0.7,0.05555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2,0,34,0,0.64
overlay,0,effnet_ts,10,0.8,0.05555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2,0,34,0,0.64
overlay,0,effnet_ts,10,0.9,0.05555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,2,0,34,0,0.64
overlay,0,effnet_ts,10,0.64,0.3055555555555556,1.0,0.2647058823529412,0.4186046511627907,1.0,0.2647058823529412,0.2647058823529412,1.0,0.6323529411764706,2,0,25,9,0.64
overlay,0,effnet_ts,28,0.5,0.9090909090909091,0.8974358974358975,1.0,0.9459459459459459,0.5555555555555556,1.0,1.0,0.5555555555555556,0.7777777777777778,5,4,0,35,0.49
overlay,0,effnet_ts,28,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,effnet_ts,28,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,effnet_ts,28,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
overlay,0,effnet_ts,28,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.49
