Day No,Num in Sample,Actual Good,Predicted Good
3,29,21,16
6,29,21,22
8,29,21,21
10,28,20,22
13,29,21,24
15,29,21,21
17,29,21,22
20,29,21,23
24,29,21,28
28,29,21,24
30,29,21,23
